"lo_id","bloom","workshop_traceability_ids","workshop_count","mapping_status"
"LO-C3-12","analyze","WX-auxiliary-variables-and-stratification-3.8-1",1,"mapped"
"LO-C3-13","evaluate","WX-auxiliary-variables-and-stratification-3.7-1",1,"mapped"
"LO-C3-14","evaluate","WX-auxiliary-variables-and-stratification-3.3-1, WX-auxiliary-variables-and-stratification-3.4-1, WX-auxiliary-variables-and-stratification-3.5-1, WX-auxiliary-variables-and-stratification-3.6-1",4,"mapped"
"LO-C3-15","create","WX-auxiliary-variables-and-stratification-3.9-1",1,"mapped"
"LO-C3-16","create","WX-auxiliary-variables-and-stratification-3.7-1",1,"mapped"
"LO-C4-01","apply","WX-hypothesis-testing-4.1-1, WX-hypothesis-testing-4.1-2, WX-hypothesis-testing-4.1-3, WX-hypothesis-testing-4.10-1, WX-hypothesis-testing-4.10-2, WX-hypothesis-testing-4.2-1, WX-hypothesis-testing-4.3-1, WX-hypothesis-testing-4.4-1, WX-hypothesis-testing-4.5-1, WX-hypothesis-testing-4.5-2, WX-hypothesis-testing-4.5-3, WX-hypothesis-testing-4.6-1, WX-hypothesis-testing-4.6-2, WX-hypothesis-testing-4.6-3, WX-hypothesis-testing-4.7-1, WX-hypothesis-testing-4.7-2, WX-hypothesis-testing-4.7-3, WX-hypothesis-testing-4.8-1, WX-hypothesis-testing-4.8-2, WX-hypothesis-testing-4.8-3, WX-hypothesis-testing-4.8-4, WX-hypothesis-testing-4.8-5, WX-hypothesis-testing-4.8-6, WX-hypothesis-testing-4.8-7, WX-hypothesis-testing-4.9-1",25,"mapped"
"LO-C4-02","remember","WX-hypothesis-testing-4.1-1",1,"mapped"
"LO-C4-03","remember","WX-hypothesis-testing-4.3-1",1,"mapped"
"LO-C4-04","remember","WX-hypothesis-testing-4.1-1",1,"mapped"
"LO-C4-05","understand","WX-hypothesis-testing-4.1-1",1,"mapped"
"LO-C4-06","understand","WX-hypothesis-testing-4.5-1",1,"mapped"
"LO-C4-07","understand","WX-hypothesis-testing-4.8-1",1,"mapped"
"LO-C4-08","apply","WX-hypothesis-testing-4.5-1",1,"mapped"
"LO-C4-09","apply","WX-hypothesis-testing-4.10-1",1,"mapped"
"LO-C4-10","apply","WX-hypothesis-testing-4.9-1",1,"mapped"
"LO-C4-11","analyze","WX-hypothesis-testing-4.1-1",1,"mapped"
"LO-C4-12","analyze","WX-hypothesis-testing-4.7-1",1,"mapped"
"LO-C4-13","evaluate","WX-hypothesis-testing-4.9-1",1,"mapped"
"LO-C4-14","evaluate","WX-hypothesis-testing-4.8-1",1,"mapped"
"LO-C4-15","create","WX-hypothesis-testing-4.5-1",1,"mapped"
"LO-C4-16","create","WX-hypothesis-testing-4.10-1",1,"mapped"
"LO-C5-01","apply","WX-regression-analysis-5.1-1, WX-regression-analysis-5.10-1, WX-regression-analysis-5.11-1, WX-regression-analysis-5.12-1, WX-regression-analysis-5.13-1, WX-regression-analysis-5.13-2, WX-regression-analysis-5.13-3, WX-regression-analysis-5.14-1, WX-regression-analysis-5.15-1, WX-regression-analysis-5.15-2, WX-regression-analysis-5.16-1, WX-regression-analysis-5.17-1, WX-regression-analysis-5.17-2, WX-regression-analysis-5.18-1, WX-regression-analysis-5.18-2, WX-regression-analysis-5.19-1, WX-regression-analysis-5.19-2, WX-regression-analysis-5.19-3, WX-regression-analysis-5.19-4, WX-regression-analysis-5.19-5, WX-regression-analysis-5.2-1, WX-regression-analysis-5.20-1, WX-regression-analysis-5.20-2, WX-regression-analysis-5.20-3, WX-regression-analysis-5.21-1, WX-regression-analysis-5.22-1, WX-regression-analysis-5.22-2, WX-regression-analysis-5.23-1, WX-regression-analysis-5.23-2, WX-regression-analysis-5.23-3, WX-regression-analysis-5.24-1, WX-regression-analysis-5.24-2, WX-regression-analysis-5.25-1, WX-regression-analysis-5.25-2, WX-regression-analysis-5.26-1, WX-regression-analysis-5.26-2, WX-regression-analysis-5.26-3, WX-regression-analysis-5.26-4, WX-regression-analysis-5.27-1, WX-regression-analysis-5.28-1, WX-regression-analysis-5.29-1, WX-regression-analysis-5.3-1, WX-regression-analysis-5.3-2, WX-regression-analysis-5.3-3, WX-regression-analysis-5.3-4, WX-regression-analysis-5.3-5, WX-regression-analysis-5.3-6, WX-regression-analysis-5.3-7, WX-regression-analysis-5.3-8, WX-regression-analysis-5.30-1, WX-regression-analysis-5.31-1, WX-regression-analysis-5.31-2, WX-regression-analysis-5.31-3, WX-regression-analysis-5.31-4, WX-regression-analysis-5.32-1, WX-regression-analysis-5.33-1, WX-regression-analysis-5.33-2, WX-regression-analysis-5.34-1, WX-regression-analysis-5.35-1, WX-regression-analysis-5.35-2, WX-regression-analysis-5.35-3, WX-regression-analysis-5.36-1, WX-regression-analysis-5.36-2, WX-regression-analysis-5.36-3, WX-regression-analysis-5.36-4, WX-regression-analysis-5.36-5, WX-regression-analysis-5.36-6, WX-regression-analysis-5.4-1, WX-regression-analysis-5.5-1, WX-regression-analysis-5.6-1, WX-regression-analysis-5.6-2, WX-regression-analysis-5.7-1, WX-regression-analysis-5.7-2, WX-regression-analysis-5.7-3, WX-regression-analysis-5.7-4, WX-regression-analysis-5.8-1, WX-regression-analysis-5.9-1, WX-regression-analysis-5.9-2, WX-regression-analysis-5.9-3",79,"mapped"
"LO-C5-02","remember","WX-regression-analysis-5.33-1",1,"mapped"
"LO-C5-03","remember","WX-regression-analysis-5.12-1, WX-regression-analysis-5.4-1",2,"mapped"
"LO-C5-04","remember","WX-regression-analysis-5.2-1, WX-regression-analysis-5.23-1, WX-regression-analysis-5.7-1",3,"mapped"
"LO-C5-05","remember","WX-regression-analysis-5.27-1, WX-regression-analysis-5.3-1",2,"mapped"
"LO-C5-06","understand","WX-regression-analysis-5.2-1",1,"mapped"
"LO-C5-07","understand","WX-regression-analysis-5.11-1",1,"mapped"
"LO-C5-08","understand","WX-regression-analysis-5.22-1",1,"mapped"
"LO-C5-09","understand","WX-regression-analysis-5.5-1",1,"mapped"
"LO-C5-10","apply","WX-regression-analysis-5.34-1",1,"mapped"
"LO-C5-11","apply","WX-regression-analysis-5.8-1, WX-regression-analysis-5.9-1",2,"mapped"
"LO-C5-12","apply","WX-regression-analysis-5.11-1",1,"mapped"
"LO-C5-13","analyze","WX-regression-analysis-5.14-1",1,"mapped"
"LO-C5-14","analyze","WX-regression-analysis-5.6-1",1,"mapped"
"LO-C5-15","evaluate","WX-regression-analysis-5.36-1",1,"mapped"
"LO-C5-16","evaluate","WX-regression-analysis-5.36-1",1,"mapped"
"LO-C5-17","create","WX-regression-analysis-5.27-1",1,"mapped"
"LO-C5-18","create","WX-regression-analysis-5.34-1",1,"mapped"
"LO-C5S5.1-01","understand","",0,"unmapped"
"LO-C5S5.2-01","understand","",0,"unmapped"
"LO-C5S5.3-01","apply","",0,"unmapped"
"LO-C5S5.4-01","apply","",0,"unmapped"
"LO-C5S5.5-01","analyze","",0,"unmapped"
"LO-C5S5.6-01","understand","",0,"unmapped"
"LO-C5S5.7-01","analyze","",0,"unmapped"
"LO-C5S5.8-01","evaluate","",0,"unmapped"
"LO-C5S5.9-01","apply","",0,"unmapped"
"LO-C6-01","understand","WX-goodness-of-fit-6.1-1, WX-goodness-of-fit-6.2-1, WX-goodness-of-fit-6.2-10, WX-goodness-of-fit-6.2-11, WX-goodness-of-fit-6.2-12, WX-goodness-of-fit-6.2-13, WX-goodness-of-fit-6.2-14, WX-goodness-of-fit-6.2-15, WX-goodness-of-fit-6.2-16, WX-goodness-of-fit-6.2-17, WX-goodness-of-fit-6.2-18, WX-goodness-of-fit-6.2-2, WX-goodness-of-fit-6.2-3, WX-goodness-of-fit-6.2-4, WX-goodness-of-fit-6.2-5, WX-goodness-of-fit-6.2-6, WX-goodness-of-fit-6.2-7, WX-goodness-of-fit-6.2-8, WX-goodness-of-fit-6.2-9",19,"mapped"
"LO-C6-02","analyze","WX-goodness-of-fit-6.2-11, WX-goodness-of-fit-6.2-12, WX-goodness-of-fit-6.2-13, WX-goodness-of-fit-6.2-15, WX-goodness-of-fit-6.2-16, WX-goodness-of-fit-6.2-17, WX-goodness-of-fit-6.2-18",7,"mapped"
"LO-C6-03","remember","WX-goodness-of-fit-6.1-1",1,"mapped"
"LO-C6-04","remember","WX-goodness-of-fit-6.2-1",1,"mapped"
"LO-C6-05","remember","WX-goodness-of-fit-6.2-8",1,"mapped"
"LO-C6-06","remember","WX-goodness-of-fit-6.2-1",1,"mapped"
"LO-C6-07","understand","WX-goodness-of-fit-6.2-1",1,"mapped"
"LO-C6-08","understand","WX-goodness-of-fit-6.2-8",1,"mapped"
"LO-C6-09","understand","WX-goodness-of-fit-6.2-5",1,"mapped"
"LO-C6-10","understand","WX-goodness-of-fit-6.2-14",1,"mapped"
"LO-C6-11","apply","WX-goodness-of-fit-6.2-2",1,"mapped"
"LO-C6-12","apply","WX-goodness-of-fit-6.2-6",1,"mapped"
"LO-C6-13","apply","WX-goodness-of-fit-6.2-1, WX-goodness-of-fit-6.2-2, WX-goodness-of-fit-6.2-3, WX-goodness-of-fit-6.2-4, WX-goodness-of-fit-6.2-8",5,"mapped"
"LO-C6-14","apply","WX-goodness-of-fit-6.2-5",1,"mapped"
"LO-C6-15","analyze","WX-goodness-of-fit-6.2-14",1,"mapped"
"LO-C6-16","analyze","WX-goodness-of-fit-6.2-13",1,"mapped"
"LO-C6-17","analyze","WX-goodness-of-fit-6.2-14",1,"mapped"
"LO-C6-18","evaluate","WX-goodness-of-fit-6.2-14",1,"mapped"
"LO-C6-19","evaluate","WX-goodness-of-fit-6.2-1",1,"mapped"
"LO-C6-20","evaluate","WX-goodness-of-fit-6.2-14",1,"mapped"
"LO-C6-21","create","WX-goodness-of-fit-6.2-1",1,"mapped"
"LO-C6-22","create","WX-goodness-of-fit-6.2-8",1,"mapped"
"LO-C6-23","create","WX-goodness-of-fit-6.2-1, WX-goodness-of-fit-6.2-10, WX-goodness-of-fit-6.2-14, WX-goodness-of-fit-6.2-5, WX-goodness-of-fit-6.2-6, WX-goodness-of-fit-6.2-7, WX-goodness-of-fit-6.2-9",7,"mapped"
"LO-C6S6.2-01","apply","",0,"unmapped"
"LO-C6S6.2-02","evaluate","",0,"unmapped"
