"workshop_traceability_id","workshop_id","exercise","chunk","lo_ids","lo_count","mapping_status"
"WX-goodness-of-fit-6.2-4","goodness-of-fit","6.2",4,"LO-C6-01, LO-C6-13",2,"mapped"
"WX-goodness-of-fit-6.2-5","goodness-of-fit","6.2",5,"LO-C6-01, LO-C6-09, LO-C6-14, LO-C6-23",4,"mapped"
"WX-goodness-of-fit-6.2-6","goodness-of-fit","6.2",6,"LO-C6-01, LO-C6-12, LO-C6-23",3,"mapped"
"WX-goodness-of-fit-6.2-7","goodness-of-fit","6.2",7,"LO-C6-01, LO-C6-23",2,"mapped"
"WX-goodness-of-fit-6.2-8","goodness-of-fit","6.2",8,"LO-C6-01, LO-C6-05, LO-C6-08, LO-C6-13, LO-C6-22",5,"mapped"
"WX-goodness-of-fit-6.2-9","goodness-of-fit","6.2",9,"LO-C6-01, LO-C6-23",2,"mapped"
"WX-hypothesis-testing-4.1-1","hypothesis-testing","4.1",1,"LO-C4-01, LO-C4-02, LO-C4-04, LO-C4-05, LO-C4-11",5,"mapped"
"WX-hypothesis-testing-4.1-2","hypothesis-testing","4.1",2,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.1-3","hypothesis-testing","4.1",3,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.10-1","hypothesis-testing","4.10",1,"LO-C4-01, LO-C4-09, LO-C4-16",3,"mapped"
"WX-hypothesis-testing-4.10-2","hypothesis-testing","4.10",2,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.2-1","hypothesis-testing","4.2",1,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.3-1","hypothesis-testing","4.3",1,"LO-C4-01, LO-C4-03",2,"mapped"
"WX-hypothesis-testing-4.4-1","hypothesis-testing","4.4",1,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.5-1","hypothesis-testing","4.5",1,"LO-C4-01, LO-C4-06, LO-C4-08, LO-C4-15",4,"mapped"
"WX-hypothesis-testing-4.5-2","hypothesis-testing","4.5",2,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.5-3","hypothesis-testing","4.5",3,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.6-1","hypothesis-testing","4.6",1,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.6-2","hypothesis-testing","4.6",2,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.6-3","hypothesis-testing","4.6",3,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.7-1","hypothesis-testing","4.7",1,"LO-C4-01, LO-C4-12",2,"mapped"
"WX-hypothesis-testing-4.7-2","hypothesis-testing","4.7",2,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.7-3","hypothesis-testing","4.7",3,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.8-1","hypothesis-testing","4.8",1,"LO-C4-01, LO-C4-07, LO-C4-14",3,"mapped"
"WX-hypothesis-testing-4.8-2","hypothesis-testing","4.8",2,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.8-3","hypothesis-testing","4.8",3,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.8-4","hypothesis-testing","4.8",4,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.8-5","hypothesis-testing","4.8",5,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.8-6","hypothesis-testing","4.8",6,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.8-7","hypothesis-testing","4.8",7,"LO-C4-01",1,"mapped"
"WX-hypothesis-testing-4.9-1","hypothesis-testing","4.9",1,"LO-C4-01, LO-C4-10, LO-C4-13",3,"mapped"
"WX-population-estimation-2.1-1","population-estimation","2.1",1,"LO-C2-05",1,"mapped"
"WX-population-estimation-2.1-2","population-estimation","2.1",2,"LO-C2-05",1,"mapped"
"WX-population-estimation-2.2-1","population-estimation","2.2",1,"LO-C2-01, LO-C2-02, LO-C2-07",3,"mapped"
"WX-population-estimation-2.2-2","population-estimation","2.2",2,"LO-C2-01, LO-C2-02, LO-C2-07",3,"mapped"
"WX-population-estimation-2.3-1","population-estimation","2.3",1,"LO-C2-01, LO-C2-08",2,"mapped"
"WX-population-estimation-2.3-2","population-estimation","2.3",2,"LO-C2-01, LO-C2-08",2,"mapped"
"WX-population-estimation-2.3-3","population-estimation","2.3",3,"LO-C2-01, LO-C2-08",2,"mapped"
"WX-population-estimation-2.3-4","population-estimation","2.3",4,"LO-C2-01, LO-C2-08",2,"mapped"
"WX-population-estimation-2.3-5","population-estimation","2.3",5,"LO-C2-01, LO-C2-08",2,"mapped"
"WX-population-estimation-2.3-6","population-estimation","2.3",6,"LO-C2-01, LO-C2-08",2,"mapped"
"WX-population-estimation-2.4-1","population-estimation","2.4",1,"LO-C2-04, LO-C2-10, LO-C2-11, LO-C2-13",4,"mapped"
"WX-population-estimation-2.4-2","population-estimation","2.4",2,"LO-C2-04, LO-C2-10, LO-C2-11, LO-C2-13",4,"mapped"
"WX-population-estimation-2.5-1","population-estimation","2.5",1,"LO-C2-03, LO-C2-09",2,"mapped"
"WX-population-estimation-2.5-2","population-estimation","2.5",2,"LO-C2-03, LO-C2-09",2,"mapped"
"WX-population-estimation-2.6-1","population-estimation","2.6",1,"LO-C2-02, LO-C2-08",2,"mapped"
"WX-population-estimation-2.6-2","population-estimation","2.6",2,"LO-C2-02, LO-C2-08",2,"mapped"
"WX-probability-distributions-1.1-1","probability-distributions","1.1",1,"LO-C1-01, LO-C1-02, LO-C1-03, LO-C1-04, LO-C1-05, LO-C1-10",6,"mapped"
"WX-probability-distributions-1.1-2","probability-distributions","1.1",2,"LO-C1-01, LO-C1-08, LO-C1-09, LO-C1-16",4,"mapped"
"WX-probability-distributions-1.1-3","probability-distributions","1.1",3,"LO-C1-01",1,"mapped"
"WX-probability-distributions-1.2-1","probability-distributions","1.2",1,"LO-C1-01, LO-C1-04, LO-C1-05, LO-C1-08, LO-C1-09, LO-C1-10, LO-C1-11, LO-C1-16",8,"mapped"
"WX-probability-distributions-1.3-1","probability-distributions","1.3",1,"LO-C1-01, LO-C1-04, LO-C1-11",3,"mapped"
"WX-probability-distributions-1.3-2","probability-distributions","1.3",2,"LO-C1-01, LO-C1-08, LO-C1-09, LO-C1-16",4,"mapped"
"WX-probability-distributions-1.4-1","probability-distributions","1.4",1,"LO-C1-01, LO-C1-03, LO-C1-04, LO-C1-12",4,"mapped"
"WX-probability-distributions-1.4-2","probability-distributions","1.4",2,"LO-C1-01, LO-C1-08, LO-C1-09, LO-C1-16",4,"mapped"
"WX-probability-distributions-1.5-1","probability-distributions","1.5",1,"LO-C1-01, LO-C1-04, LO-C1-08, LO-C1-09, LO-C1-12, LO-C1-16",6,"mapped"
"WX-probability-distributions-1.6-1","probability-distributions","1.6",1,"LO-C1-01, LO-C1-04",2,"mapped"
"WX-probability-distributions-1.6-2","probability-distributions","1.6",2,"LO-C1-01, LO-C1-08, LO-C1-09, LO-C1-16",4,"mapped"
"WX-probability-distributions-1.7-1","probability-distributions","1.7",1,"LO-C1-01, LO-C1-04",2,"mapped"
"WX-probability-distributions-1.7-2","probability-distributions","1.7",2,"LO-C1-01, LO-C1-08, LO-C1-09, LO-C1-16",4,"mapped"
"WX-regression-analysis-5.1-1","regression-analysis","5.1",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.10-1","regression-analysis","5.10",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.11-1","regression-analysis","5.11",1,"LO-C5-01, LO-C5-07, LO-C5-12",3,"mapped"
"WX-regression-analysis-5.12-1","regression-analysis","5.12",1,"LO-C5-01, LO-C5-03",2,"mapped"
"WX-regression-analysis-5.13-1","regression-analysis","5.13",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.13-2","regression-analysis","5.13",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.13-3","regression-analysis","5.13",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.14-1","regression-analysis","5.14",1,"LO-C5-01, LO-C5-13",2,"mapped"
"WX-regression-analysis-5.15-1","regression-analysis","5.15",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.15-2","regression-analysis","5.15",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.16-1","regression-analysis","5.16",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.17-1","regression-analysis","5.17",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.17-2","regression-analysis","5.17",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.18-1","regression-analysis","5.18",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.18-2","regression-analysis","5.18",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.19-1","regression-analysis","5.19",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.19-2","regression-analysis","5.19",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.19-3","regression-analysis","5.19",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.19-4","regression-analysis","5.19",4,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.19-5","regression-analysis","5.19",5,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.2-1","regression-analysis","5.2",1,"LO-C5-01, LO-C5-04, LO-C5-06",3,"mapped"
"WX-regression-analysis-5.20-1","regression-analysis","5.20",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.20-2","regression-analysis","5.20",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.20-3","regression-analysis","5.20",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.21-1","regression-analysis","5.21",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.22-1","regression-analysis","5.22",1,"LO-C5-01, LO-C5-08",2,"mapped"
"WX-regression-analysis-5.22-2","regression-analysis","5.22",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.23-1","regression-analysis","5.23",1,"LO-C5-01, LO-C5-04",2,"mapped"
"WX-regression-analysis-5.23-2","regression-analysis","5.23",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.23-3","regression-analysis","5.23",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.24-1","regression-analysis","5.24",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.24-2","regression-analysis","5.24",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.25-1","regression-analysis","5.25",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.25-2","regression-analysis","5.25",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.26-1","regression-analysis","5.26",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.26-2","regression-analysis","5.26",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.26-3","regression-analysis","5.26",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.26-4","regression-analysis","5.26",4,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.27-1","regression-analysis","5.27",1,"LO-C5-01, LO-C5-05, LO-C5-17",3,"mapped"
"WX-regression-analysis-5.28-1","regression-analysis","5.28",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.29-1","regression-analysis","5.29",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-1","regression-analysis","5.3",1,"LO-C5-01, LO-C5-05",2,"mapped"
"WX-regression-analysis-5.3-2","regression-analysis","5.3",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-3","regression-analysis","5.3",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-4","regression-analysis","5.3",4,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-5","regression-analysis","5.3",5,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-6","regression-analysis","5.3",6,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-7","regression-analysis","5.3",7,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.3-8","regression-analysis","5.3",8,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.30-1","regression-analysis","5.30",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.31-1","regression-analysis","5.31",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.31-2","regression-analysis","5.31",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.31-3","regression-analysis","5.31",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.31-4","regression-analysis","5.31",4,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.32-1","regression-analysis","5.32",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.33-1","regression-analysis","5.33",1,"LO-C5-01, LO-C5-02",2,"mapped"
"WX-regression-analysis-5.33-2","regression-analysis","5.33",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.34-1","regression-analysis","5.34",1,"LO-C5-01, LO-C5-10, LO-C5-18",3,"mapped"
"WX-regression-analysis-5.35-1","regression-analysis","5.35",1,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.35-2","regression-analysis","5.35",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.35-3","regression-analysis","5.35",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.36-1","regression-analysis","5.36",1,"LO-C5-01, LO-C5-15, LO-C5-16",3,"mapped"
"WX-regression-analysis-5.36-2","regression-analysis","5.36",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.36-3","regression-analysis","5.36",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.36-4","regression-analysis","5.36",4,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.36-5","regression-analysis","5.36",5,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.36-6","regression-analysis","5.36",6,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.4-1","regression-analysis","5.4",1,"LO-C5-01, LO-C5-03",2,"mapped"
"WX-regression-analysis-5.5-1","regression-analysis","5.5",1,"LO-C5-01, LO-C5-09",2,"mapped"
"WX-regression-analysis-5.6-1","regression-analysis","5.6",1,"LO-C5-01, LO-C5-14",2,"mapped"
"WX-regression-analysis-5.6-2","regression-analysis","5.6",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.7-1","regression-analysis","5.7",1,"LO-C5-01, LO-C5-04",2,"mapped"
"WX-regression-analysis-5.7-2","regression-analysis","5.7",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.7-3","regression-analysis","5.7",3,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.7-4","regression-analysis","5.7",4,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.8-1","regression-analysis","5.8",1,"LO-C5-01, LO-C5-11",2,"mapped"
"WX-regression-analysis-5.9-1","regression-analysis","5.9",1,"LO-C5-01, LO-C5-11",2,"mapped"
"WX-regression-analysis-5.9-2","regression-analysis","5.9",2,"LO-C5-01",1,"mapped"
"WX-regression-analysis-5.9-3","regression-analysis","5.9",3,"LO-C5-01",1,"mapped"
